State/Territory,Total (Billions),Population,Party
ALABAMA,3.0000 ,"5,024,279",Republican
ALASKA,3.7000 ,"733,391",Republican
AMERICAN SAMOA,0.0686 ,"49,710",None
ARIZONA,3.5000 ,"7,151,502",Democratic
ARKANSAS,2.8000 ,"3,011,524",Republican
CALIFORNIA,18.4000 ,"39,538,223",Democratic
COLORADO,3.2000 ,"5,773,714",Democratic
CONNECTICUT,2.5000 ,"3,605,944",Democratic
DELAWARE,0.7920 ,"989,948",Democratic
DISTRICT OF COLUMBIA,1.1000 ,"689,545",Democratic
FLORIDA,8.2000 ,"21,538,187",Republican
GEORGIA,5.0000 ,"10,711,908",Democratic
GUAM,0.1426 ,"153,836",None
HAWAII,1.0000 ,"1,455,271",Democratic
IDAHO,1.2000 ,"1,839,106",Republican
ILLINOIS,8.4000 ,"12,812,508",Democratic
INDIANA,3.4000 ,"6,785,528",Republican
IOWA,2.4000 ,"3,190,369",Republican
KANSAS,1.5000 ,"2,937,880",Republican
KENTUCKY,3.9000 ,"4,505,836",Republican
LOUISIANA,4.3000 ,"4,657,757",Republican
MAINE,1.1000 ,"1,362,359",Republican
MARYLAND,2.7000 ,"6,177,224",Democratic
MASSACHUSETTS,3.6000 ,"7,029,917",Democratic
MICHIGAN,5.2000 ,"10,077,331",Democratic
MINNESOTA,2.7000 ,"5,706,494",Democratic
MISSISSIPPI,2.3000 ,"2,961,279",Republican
MISSOURI,3.8000 ,"6,154,913",Republican
MONTANA,3.3000 ,"1,084,225",Republican
NEBRASKA,1.3000 ,"1,961,504",Republican
NEVADA,1.7000 ,"3,104,614",Democratic
NEW HAMPSHIRE,0.7518 ,"1,377,529",Democratic
NEW JERSEY,5.1000 ,"9,288,994",Democratic
NEW MEXICO,2.6000 ,"2,117,522",Democratic
NEW YORK,10.1000 ,"20,201,249",Democratic
NORTH CAROLINA,4.5000 ,"10,439,388",Republican
NORTH DAKOTA,1.8000 ,"779,094",Republican
NORTHERN MARIANA ISLANDS,0.0833 ,"47,329",None
OHIO,6.6000 ,"11,799,448",Republican
OKLAHOMA,2.9000 ,"3,959,353",Republican
OREGON,2.3000 ,"4,237,256",Democratic
PENNSYLVANIA,8.1000 ,"13,002,700",Democratic
PUERTO RICO,0.9937 ,"3,285,874",None
RHODE ISLAND,1.1000 ,"1,097,379",Democratic
SOUTH CAROLINA,2.3000 ,"5,118,425",Republican
SOUTH DAKOTA,1.3000 ,"886,667",Republican
TENNESSEE,3.7000 ,"6,910,840",Republican
TEXAS,14.2000 ,"29,145,505",Republican
TRIBAL COMMUNITIES,3.0000 ,3727135,None
U.S. Virgin Islands,0.1483 ,"87,146",None
UTAH,1.8000 ,"3,271,616",Republican
VERMONT,0.8521 ,"643,077",Democratic
VIRGINIA,4.5000 ,"8,631,393",Democratic
WASHINGTON,4.0000 ,"7,705,281",Democratic
WEST VIRGINIA,2.0000 ,"1,793,716",Republican
WISCONSIN,2.8000 ,"5,893,718",Democratic
WYOMING,2.3000 ,"576,851",Republican
