State/Territory,Total (Billions),Population,Party
ALABAMA,3.0000 ,"39,538,223",Republican
ALASKA,3.7000 ,"29,145,505",Republican
AMERICAN SAMOA,0.0686 ,"21,538,187",None
ARIZONA,3.5000 ,"20,201,249",Democratic
ARKANSAS,2.8000 ,"13,002,700",Republican
CALIFORNIA,18.4000 ,"12,812,508",Democratic
COLORADO,3.2000 ,"11,799,448",Democratic
CONNECTICUT,2.5000 ,"10,711,908",Democratic
DELAWARE,0.7920 ,"10,439,388",Democratic
DISTRICT OF COLUMBIA,1.1000 ,"10,077,331",Democratic
FLORIDA,8.2000 ,"9,288,994",Republican
GEORGIA,5.0000 ,"8,631,393",Democratic
GUAM,0.1426 ,"7,705,281",None
HAWAII,1.0000 ,"7,151,502",Democratic
IDAHO,1.2000 ,"6,910,840",Republican
ILLINOIS,8.4000 ,"7,029,917",Democratic
INDIANA,3.4000 ,"6,785,528",Republican
IOWA,2.4000 ,"6,154,913",Republican
KANSAS,1.5000 ,"6,177,224",Republican
KENTUCKY,3.9000 ,"5,893,718",Republican
LOUISIANA,4.3000 ,"5,773,714",Republican
MAINE,1.1000 ,"5,706,494",Republican
MARYLAND,2.7000 ,"5,118,425",Democratic
MASSACHUSETTS,3.6000 ,"5,024,279",Democratic
MICHIGAN,5.2000 ,"4,657,757",Democratic
MINNESOTA,2.7000 ,"4,505,836",Democratic
MISSISSIPPI,2.3000 ,"4,237,256",Republican
MISSOURI,3.8000 ,"3,959,353",Republican
MONTANA,3.3000 ,"3,605,944",Republican
NEBRASKA,1.3000 ,"3,271,616",Republican
NEVADA,1.7000 ,"3,190,369",Democratic
NEW HAMPSHIRE,0.7518 ,"3,285,874",Democratic
NEW JERSEY,5.1000 ,"3,104,614",Democratic
NEW MEXICO,2.6000 ,"3,011,524",Democratic
NEW YORK,10.1000 ,"2,937,880",Democratic
NORTH CAROLINA,4.5000 ,"2,961,279",Republican
NORTH DAKOTA,1.8000 ,"2,117,522",Republican
NORTHERN MARIANA ISLANDS,0.0833 ,"1,961,504",None
OHIO,6.6000 ,"1,839,106",Republican
OKLAHOMA,2.9000 ,"1,793,716",Republican
OREGON,2.3000 ,"1,455,271",Democratic
PENNSYLVANIA,8.1000 ,"1,377,529",Democratic
PUERTO RICO,0.9937 ,"1,362,359",None
RHODE ISLAND,1.1000 ,"1,084,225",Democratic
SOUTH CAROLINA,2.3000 ,"1,097,379",Republican
SOUTH DAKOTA,1.3000 ,"989,948",Republican
TENNESSEE,3.7000 ,"886,667",Republican
TEXAS,14.2000 ,"779,094",Republican
TRIBAL COMMUNITIES,3.0000 ,3727135,None
U.S. Virgin Islands,0.1483 ,"733,391",None
UTAH,1.8000 ,"689,545",Republican
VERMONT,0.8521 ,"643,077",Democratic
VIRGINIA,4.5000 ,"576,851",Democratic
WASHINGTON,4.0000 ,"153,836",Democratic
WEST VIRGINIA,2.0000 ,"87,146",Republican
WISCONSIN,2.8000 ,"49,710",Democratic
WYOMING,2.3000 ,"47,329",Republican
