STATE,Party
AL,Republican
AK,Republican
AZ,Democratic
AR,Republican
CA,Democratic
CO,Democratic
CT,Democratic
DE,Democratic
DC,Democratic
FL,Republican
GA,Democratic
HI,Democratic
ID,Republican
IL,Democratic
IN,Republican
IA,Republican
KS,Republican
KY,Republican
LA,Republican
ME*,Republican
MD,Democratic
MA,Democratic
MI,Democratic
MN,Democratic
MS,Republican
MO,Republican
MT,Republican
NE*,Republican
NV,Democratic
NH,Democratic
NJ,Democratic
NM,Democratic
NY,Democratic
NC,Republican
ND,Republican
OH,Republican
OK,Republican
OR,Democratic
PA,Democratic
RI,Democratic
SC,Republican
SD,Republican
TN,Republican
TX,Republican
UT,Republican
VT,Democratic
VA,Democratic
WA,Democratic
WV,Republican
WI,Democratic
WY,Republican
