id,name,num_records,ocean,date,year,utc_hours_mins,record_identifier,sys_status,latitude,longitude,max_wind,min_pressure,max_wind_radius
AL011851,UNNAMED,14,atlantic,18510625,1851,0000,,HU,28.0N,94.8W,80,-999, -999
AL011851,UNNAMED,14,atlantic,18510625,1851,0600,,HU,28.0N,95.4W,80,-999, -999
AL011851,UNNAMED,14,atlantic,18510625,1851,1200,,HU,28.0N,96.0W,80,-999, -999
AL011851,UNNAMED,14,atlantic,18510625,1851,1800,,HU,28.1N,96.5W,80,-999, -999
AL011851,UNNAMED,14,atlantic,18510625,1851,2100,L,HU,28.2N,96.8W,80,-999, -999
AL011851,UNNAMED,14,atlantic,18510626,1851,0000,,HU,28.2N,97.0W,70,-999, -999
AL011851,UNNAMED,14,atlantic,18510626,1851,0600,,TS,28.3N,97.6W,60,-999, -999
AL011851,UNNAMED,14,atlantic,18510626,1851,1200,,TS,28.4N,98.3W,60,-999, -999
AL011851,UNNAMED,14,atlantic,18510626,1851,1800,,TS,28.6N,98.9W,50,-999, -999
AL011851,UNNAMED,14,atlantic,18510627,1851,0000,,TS,29.0N,99.4W,50,-999, -999
AL011851,UNNAMED,14,atlantic,18510627,1851,0600,,TS,29.5N,99.8W,40,-999, -999
AL011851,UNNAMED,14,atlantic,18510627,1851,1200,,TS,30.0N,100.0W,40,-999, -999
AL011851,UNNAMED,14,atlantic,18510627,1851,1800,,TS,30.5N,100.1W,40,-999, -999
AL011851,UNNAMED,14,atlantic,18510628,1851,0000,,TS,31.0N,100.2W,40,-999, -999
AL021851,UNNAMED,1,atlantic,18510705,1851,1200,,HU,22.2N,97.6W,80,-999, -999
AL031851,UNNAMED,1,atlantic,18510710,1851,1200,,TS,12.0N,60.0W,50,-999, -999
AL041851,UNNAMED,49,atlantic,18510816,1851,0000,,TS,13.4N,48.0W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510816,1851,0600,,TS,13.7N,49.5W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510816,1851,1200,,TS,14.0N,51.0W,50,-999, -999
AL041851,UNNAMED,49,atlantic,18510816,1851,1800,,TS,14.4N,52.8W,50,-999, -999
AL041851,UNNAMED,49,atlantic,18510817,1851,0000,,TS,14.9N,54.6W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510817,1851,0600,,TS,15.4N,56.5W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510817,1851,1200,,HU,15.9N,58.5W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510817,1851,1800,,HU,16.1N,60.4W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510818,1851,0000,,HU,16.6N,62.5W,80,-999, -999
AL041851,UNNAMED,49,atlantic,18510818,1851,0600,,HU,16.9N,64.1W,80,-999, -999
AL041851,UNNAMED,49,atlantic,18510818,1851,1200,,HU,17.2N,66.0W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510818,1851,1800,,HU,17.6N,67.6W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510819,1851,0000,,HU,18.0N,69.3W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510819,1851,0600,,HU,18.4N,71.1W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510819,1851,1200,,TS,18.9N,72.6W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510819,1851,1800,,TS,19.4N,74.3W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510820,1851,0000,,HU,19.9N,75.9W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510820,1851,0600,,HU,20.5N,77.6W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510820,1851,1200,,HU,21.2N,79.0W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510820,1851,1800,,HU,21.9N,80.4W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510821,1851,0000,,TS,22.6N,81.4W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510821,1851,0600,,TS,23.2N,82.5W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510821,1851,1200,,HU,23.9N,83.6W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510821,1851,1800,,HU,24.4N,84.3W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510822,1851,0000,,HU,25.0N,84.9W,80,-999, -999
AL041851,UNNAMED,49,atlantic,18510822,1851,0600,,HU,25.6N,85.5W,80,-999, -999
AL041851,UNNAMED,49,atlantic,18510822,1851,1200,,HU,26.2N,86.0W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510822,1851,1800,,HU,26.8N,86.3W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510823,1851,0000,,HU,27.4N,86.5W,100,-999, -999
AL041851,UNNAMED,49,atlantic,18510823,1851,0600,,HU,28.0N,86.6W,100,-999, -999
AL041851,UNNAMED,49,atlantic,18510823,1851,1200,,HU,28.5N,86.6W,100,-999, -999
AL041851,UNNAMED,49,atlantic,18510823,1851,1800,,HU,29.6N,86.1W,100,-999, -999
AL041851,UNNAMED,49,atlantic,18510823,1851,2100,L,HU,30.1N,85.7W,100,-999, -999
AL041851,UNNAMED,49,atlantic,18510824,1851,0000,,HU,30.7N,85.1W,90,-999, -999
AL041851,UNNAMED,49,atlantic,18510824,1851,0600,,HU,31.6N,84.1W,70,-999, -999
AL041851,UNNAMED,49,atlantic,18510824,1851,1200,,TS,32.5N,83.0W,60,-999, -999
AL041851,UNNAMED,49,atlantic,18510824,1851,1800,,TS,33.4N,81.4W,50,-999, -999
AL041851,UNNAMED,49,atlantic,18510825,1851,0000,,TS,34.0N,80.0W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510825,1851,0600,,TS,34.8N,78.6W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510825,1851,1200,,TS,35.8N,77.0W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510825,1851,1800,,TS,36.8N,75.1W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510826,1851,0000,,TS,37.8N,73.6W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510826,1851,0600,,TS,38.9N,71.8W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510826,1851,1200,,TS,40.0N,70.0W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510826,1851,1800,,TS,41.3N,66.8W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510827,1851,0000,,TS,42.8N,63.3W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510827,1851,0600,,TS,44.5N,60.2W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510827,1851,1200,,TS,46.4N,57.2W,40,-999, -999
AL041851,UNNAMED,49,atlantic,18510827,1851,1800,,TS,48.5N,54.2W,40,-999, -999
AL051851,UNNAMED,16,atlantic,18510913,1851,0000,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510913,1851,0600,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510913,1851,1200,,TS,32.5N,73.5W,50,-999, -999
AL051851,UNNAMED,16,atlantic,18510913,1851,1800,,TS,32.5N,73.5W,50,-999, -999
