City,State,Region,Income
Agartala,Tripura,North East India,"1,617.00"
Agra,Uttar Pradesh,North India,832.00
Ahmedabad,Gujarat,West India,"2,872.00"
Aizwal,Mizoram,East India,"1,949.00"
Ajmer,Rajasthan,West India,"1,565.00"
Bengaluru,Karnataka,South India,3,191.00
Allahabad,Uttar Pradesh,North India,832.00
Alleppey,Kerala,South India,"2,767.00"
Alibaug,Maharashtra,West India,"2,606.00"
Almora,Uttaranchal,North India,"2,603.33"
Alsisar,Rajasthan,West India,"1,565.00"
Alwar,Rajasthan,West India,"1,565.00"
Ambala,Haryana,North India,"3,181.00"
Amla,Madhya Pradesh,Central India,"1,416.00"
Amritsar,Punjab,North India,"2,023.00"
Anand,Gujarat,West India,"2,872.00"
Ankleshwar,Gujarat,West India,"2,872.00"
Ashtamudi,Kerala,South India,"2,767.00"
Auli,Himachal Pradesh,North India,"2,474.00"
Aurangabad,Maharashtra,West India,"2,606.00"
Baddi,Himachal Pradesh,North India,"2,474.00"
Badrinath,Uttaranchal,North India,"2,603.33"
Balasinor,Gujarat,West India,"2,872.00"
Balrampur,Uttar Pradesh,North India,832.00
Bambora,Rajasthan,West India,"1,565.00"
Bandhavgarh,Madhya Pradesh,Central India,"1,416.00"
Bandipur,Karnataka,South India,"3,191.00"
Bangalore,Karnataka,South India,"3,191.00"
Barbil,Orissa,East India,"1,735.33"
Bareilly,Uttar Pradesh,North India,832.00
Behror,Rajasthan,West India,"1,565.00"
Belgaum,Karnataka,South India,"3,191.00"
Berhampur,Orissa,East India,"1,735.33"
Betalghat,Uttaranchal,North India,"2,603.33"
Bharatpur,Rajasthan,West India,"1,565.00"
Bhandardara,Maharashtra,West India,"2,606.00"
Bharuch,Gujarat,West India,"2,872.00"
Bhavangadh,Gujarat,West India,"2,872.00"
Bhavnagar,Gujarat,West India,"2,872.00"
Bhilai,Chhattisgarh,East India,"1,416.00"
Bhimtal,Uttaranchal,North India,"2,603.33"
Bhopal,Madhya Pradesh,Central India,"1,416.00"
Bhubaneshwar,Orissa,East India,"1,735.33"
Bhuj,Gujarat,West India,"2,872.00"
Bikaner,Rajasthan,West India,"1,565.00"
Binsar,Uttaranchal,North India,"2,603.33"
Bodhgaya,Bihar,East India,588.00
Bundi,Rajasthan,West India,"1,565.00"
Calicut,Kerala,South India,"2,767.00"
Canannore,Kerala,South India,"2,767.00"
Chail,Himachal Pradesh,North India,"2,474.00"
Chamba,Uttaranchal,North India,"2,603.33"
Chandigarh,Punjab,North India,"2,023.00"
Chennai,Tamil Nadu,South India,"2,863.00"
Chikmagalur,Karnataka,South India,"3,191.00"
Chiplun,Maharashtra,West India,"2,606.00"
Chitrakoot,Madhya Pradesh,Central India,"1,416.00"
Chittorgarh,Rajasthan,West India,"1,565.00"
Coimbatore,Tamil Nadu,South India,"2,863.00"
Coonoor,Tamil Nadu,South India,"2,863.00"
Coorg,Karnataka,South India,"3,191.00"
Corbett National Park,Uttaranchal,North India,"2,603.33"
Cuttack,Orissa,East India,"1,735.33"
Dabhosa,Maharashtra,West India,"2,606.00"
Dalhousie,Himachal Pradesh,North India,"2,474.00"
Daman,Union Territory Of Dadra & Nagar Haveli,West India,"3,216.00"
Dandeli,Karnataka,South India,"3,191.00"
Dapoli,Maharashtra,West India,"2,606.00"
Darjeeling,West Bengal,East India,"1,637.00"
Dausa,Rajasthan,West India,"1,565.00"
Dehradun,Uttar Pradesh,North India,832.00
Dharamshala,Himachal Pradesh,North India,"2,474.00"
Dibrugarh,Assam,East India,"1,172.00"
Digha,West Bengal,East India,"1,637.00"
Diu,Union Territory Of Dadra & Nagar Haveli,West India,"3,216.00"
Dive Agar,Maharashtra,West India,"2,606.00"
Dooars,West Bengal,East India,"1,637.00"
Durgapur,West Bengal,East India,"1,637.00"
Durshet,Maharashtra,West India,"2,606.00"
Dwarka,Gujarat,West India,"2,872.00"
Faridabad,Haryana,North India,"3,181.00"
Firozabad,Uttar Pradesh,North India,832.00
Gangotri,Uttaranchal,North India,"2,603.33"
Gangtok,Sikkim,East India,"5,570.00"
Ganapatipule,Maharashtra,West India,"2,606.00"
Gandhidham,Gujarat,West India,"2,872.00"
Gandhinagar,Gujarat,West India,"2,872.00"
Garhmukteshwar,Uttar Pradesh,North India,832.00
Garhwal,Uttaranchal,North India,"2,603.33"
Gaya,Bihar,East India,588.00
